                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4118,                 2.8153,                 1.7548,                0.61343,                0.88256,                 0.8879,                 0.6156,                 1.3926,                 1.3292,                 1.2503,                      0,                      0,                      0
                      2,                 1.2489,                 2.6215,                 1.4408,                0.59672,                0.89734,                0.88811,                0.61799,                 1.4046,                 1.3533,                 1.2564,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1415,                  4.218,                 1.4951,                 0.5791,                0.83333,                0.87397,                0.61303,                 1.4193,                 1.3854,                 1.2631,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2659,                  2.668,                 1.4486,                0.54582,                0.85514,                0.87204,                0.60505,                 1.4537,                 1.4203,                 1.2788,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3365,                  2.856,                 1.6305,                0.57008,                0.83333,                0.87216,                0.59728,                 1.4799,                 1.4541,                 1.2953,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.6315,                 4.7089,                 1.9235,                0.85379,                0.57273,                0.87404,                0.58056,                  1.491,                 1.5092,                 1.3101,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.3912,                 2.0806,                 1.5494,                0.83807,                0.56667,                0.88594,                0.57715,                 1.5051,                 1.5496,                 1.3206,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5171,                 3.1415,                 1.7829,                0.83515,                0.56667,                0.88234,                 0.5469,                 1.5182,                 1.6306,                 1.3418,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0736,                 2.5911,                 1.3545,                0.81781,                0.56667,                0.77945,                 0.5384,                 1.5434,                 1.6938,                 1.3604,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.97612,                  3.339,                  1.491,                0.79684,                0.56667,                0.74397,                0.53444,                 1.5546,                 1.7402,                 1.3765,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                  1.352,                 2.7433,                 1.5358,                0.79577,                0.58333,                0.74426,                 0.5345,                 1.5538,                 1.7514,                 1.3763,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0354,                 2.0483,                 1.3949,                 0.7751,                0.58333,                0.74434,                0.53467,                 1.5524,                 1.7693,                 1.3752,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.96692,                 2.5655,                 1.2301,                0.74871,                0.58333,                0.74416,                0.53464,                 1.5239,                 1.7835,                 1.3591,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.3808,                 2.4199,                 1.7917,                0.76626,                0.58333,                0.74312,                0.52635,                  1.512,                 1.8134,                  1.354,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.81744,                 1.6945,                 1.1195,                0.79003,                0.41667,                0.74164,                0.53949,                 1.5067,                 1.8298,                 1.3478,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0844,                 2.1266,                 1.5175,                0.92698,                0.37343,                0.74164,                0.53458,                 1.5186,                  1.853,                 1.3557,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 0.8242,                 1.6475,                  1.158,                0.92693,                0.37333,                0.65989,                0.49842,                 1.5202,                 1.8834,                 1.3593,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                  1.122,                 1.6032,                 1.3437,                0.92693,                0.37333,                0.65989,                0.49842,                 1.5202,                 1.8834,                 1.3593,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 0.9694,                 1.6823,                 1.1622,                 0.9259,                0.37342,                0.63233,                0.48465,                 1.5638,                 1.9778,                 1.3719,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.0156,                  1.602,                 1.3226,                 0.9259,                0.37342,                0.63233,                0.48465,                 1.5638,                 1.9778,                 1.3719,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                   1.24,                 2.7554,                 1.6354,                0.92033,                0.37329,                0.60385,                0.46531,                 1.5926,                 2.0758,                 1.4087,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.2764,                 2.4909,                 1.6767,                0.92033,                0.37329,                0.60385,                0.46531,                 1.5926,                 2.0758,                 1.4087,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 0.9402,                 1.9039,                 1.4104,                0.91679,                0.37321,                0.59251,                0.46324,                 1.5953,                 2.1297,                  1.413,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.0497,                 2.1843,                 1.5338,                0.91679,                0.37321,                0.59251,                0.46324,                 1.5953,                 2.1297,                  1.413,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.84476,                 1.6272,                 1.2531,                0.91975,                0.37328,                 0.5833,                0.44108,                 1.6183,                 2.2135,                 1.4442,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.96325,                 1.9016,                  1.382,                0.91975,                0.37328,                 0.5833,                0.44108,                 1.6183,                 2.2135,                 1.4442,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.87346,                 1.8956,                 1.3791,                0.91523,                0.37304,                0.57623,                0.44031,                 1.6459,                 2.2654,                  1.476,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.81387,                 1.1808,                 1.1748,                0.91523,                0.37304,                0.57623,                0.44031,                 1.6459,                 2.2654,                  1.476,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.91842,                 1.5259,                 1.2546,                0.91541,                0.37334,                0.57624,                 0.4403,                 1.6484,                 2.2844,                 1.4846,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.3031,                 2.5644,                 1.5852,                0.91541,                0.37334,                0.57624,                 0.4403,                 1.6484,                 2.2844,                 1.4846,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.93562,                 1.2624,                 1.2379,                0.91615,                0.37329,                0.57568,                0.43026,                 1.6779,                 2.3045,                 1.4959,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.64466,                 1.3434,                 1.1451,                0.91615,                0.37329,                0.57568,                0.43026,                 1.6779,                 2.3045,                 1.4959,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.90917,                 1.2097,                 1.4962,                0.91826,                0.37329,                0.46653,                0.33946,                 1.6711,                 2.2949,                 1.5063,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.96978,                 1.1529,                 1.2932,                0.91826,                0.37329,                0.46653,                0.33946,                 1.6711,                 2.2949,                 1.5063,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.95182,                 1.9569,                 1.3085,                0.91414,                0.37318,                0.45299,                 0.3105,                 1.6696,                  2.294,                 1.5033,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.82125,                 1.4577,                 1.2194,                0.91414,                0.37318,                0.45299,                 0.3105,                 1.6696,                  2.294,                 1.5033,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.73373,                 1.2874,                 1.1429,                0.91665,                0.37321,                0.45158,                0.30283,                  1.689,                 2.3242,                 1.5143,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.47428,                0.96387,                0.96192,                0.91665,                0.37321,                0.45158,                0.30283,                  1.689,                 2.3242,                 1.5143,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.79882,                0.90477,                 1.0891,                0.91499,                0.37263,                 0.4523,                0.30194,                 1.6933,                 2.3282,                 1.5139,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.65788,                 0.7758,                 1.0627,                0.91499,                0.37263,                 0.4523,                0.30194,                 1.6933,                 2.3282,                 1.5139,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.67409,                 0.9087,                 1.0191,                0.91688,                0.37252,                0.45432,                0.30471,                 1.6978,                 2.3354,                 1.5119,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.60824,                 1.7468,                 1.0796,                0.91688,                0.37252,                0.45432,                0.30471,                 1.6978,                 2.3354,                 1.5119,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0748,                 1.4127,                 1.3344,                0.91786,                0.37231,                0.44717,                0.32756,                 1.7072,                 2.3477,                  1.519,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.91016,                0.88277,                 1.3406,                0.91786,                0.37231,                0.44717,                0.32756,                 1.7072,                 2.3477,                  1.519,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                  0.598,                0.76648,                 1.0003,                0.94043,                0.39197,                0.45107,                0.33006,                 1.7238,                 2.3713,                 1.5208,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.74268,                 1.0749,                 1.1832,                0.94043,                0.39197,                0.45107,                0.33006,                 1.7238,                 2.3713,                 1.5208,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.82742,                 1.7718,                  1.267,                0.94201,                0.39318,                0.45553,                 0.3305,                 1.7279,                 2.3058,                  1.516,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.87706,                 1.5337,                 1.2465,                0.94201,                0.39318,                0.45553,                 0.3305,                 1.7279,                 2.3058,                  1.516,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.87756,                0.96126,                 1.3313,                0.94205,                0.39338,                0.46494,                0.33909,                 1.7317,                 2.2952,                 1.5176,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.73503,                 1.1738,                 1.2497,                0.94205,                0.39338,                0.46494,                0.33909,                 1.7317,                 2.2952,                 1.5176,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 0.8084,                0.94666,                 1.1637,                0.94291,                0.39314,                0.46571,                0.33905,                 1.7395,                 2.3064,                 1.5291,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 0.8656,                0.94501,                 1.2651,                0.94291,                0.39314,                0.46571,                0.33905,                 1.7395,                 2.3064,                 1.5291,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.65473,                0.71805,                 1.2011,                0.94291,                0.39314,                0.46571,                0.33905,                 1.7395,                 2.3064,                 1.5291,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.79124,                0.91214,                 1.2499,                0.94351,                0.39498,                0.45937,                0.34927,                 1.7337,                 2.3003,                 1.5177,             2.9977e-05,             2.9977e-05,             2.9977e-05
