                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3959,                 3.7087,                  1.687,                0.00333,                      1,                0.05989,                0.03118,                0.98526,                 3.5174,                 1.3049,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.1574,                 3.5329,                 1.4163,                0.00333,                      1,                  0.131,                0.08049,                0.92658,                 3.4513,                 1.2629,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                0.99147,                 2.9977,                 1.2736,                0.00333,                      1,                0.55453,                0.40216,                0.85356,                 3.3544,                 1.1572,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                0.80868,                 2.6914,                 1.1205,                0.00333,                      1,                0.89713,                0.70791,                0.79835,                 3.1899,                 1.0952,             0.00013584,             0.00013584,             0.00013584
                      5,                0.81931,                 2.3896,                 1.0481,                0.00333,                      1,                0.97103,                0.76351,                0.74444,                 3.0827,                 1.0095,             0.00017287,             0.00017287,             0.00017287
                      6,                0.84012,                 1.7454,                 1.0017,                0.00333,                      1,                   0.99,                0.79122,                 0.6937,                  2.876,                0.98187,             0.00020911,             0.00020911,             0.00020911
                      7,                0.91409,                 2.2727,                 1.1618,                      1,                 0.5839,                  0.995,                 0.7851,                0.70358,                 2.6456,                 1.0504,             0.00024456,             0.00024456,             0.00024456
                      8,                0.72223,                 1.3963,                 1.0464,                      1,                0.60863,                  0.995,                0.77426,                 0.7731,                 2.6428,                 1.0859,             0.00027921,             0.00027921,             0.00027921
                      9,                0.84798,                 1.7984,                 1.1434,                      1,                0.88747,                  0.995,                0.71187,                0.80845,                 2.7519,                 1.0853,             0.00031307,             0.00031307,             0.00031307
                     10,                0.82378,                 1.4542,                0.98457,                0.84369,                      1,                  0.995,                0.69596,                0.79664,                 2.8652,                 1.0477,             0.00034614,             0.00034614,             0.00034614
                     11,                0.81381,                 1.2639,                0.94698,                0.97434,                      1,                  0.995,                0.77979,                0.73887,                 2.8197,                 1.0153,             0.00037842,             0.00037842,             0.00037842
                     12,                0.71121,                 1.3397,                0.98608,                      1,                0.95092,                  0.995,                0.82087,                0.68336,                 2.7984,                 0.9694,             0.00040991,             0.00040991,             0.00040991
                     13,                0.66341,                 1.7237,                 1.0038,                      1,                0.97381,                  0.995,                0.85135,                0.60229,                 2.7866,                 0.9185,              0.0004406,              0.0004406,              0.0004406
                     14,                0.76073,                 1.2598,                0.97691,                      1,                0.95671,                  0.995,                 0.8538,                0.54948,                  2.752,                0.90262,              0.0004705,              0.0004705,              0.0004705
                     15,                0.83033,                 1.1484,                0.99255,                      1,                 0.9507,                  0.995,                0.85007,                0.56595,                  2.729,                0.94078,             0.00049961,             0.00049961,             0.00049961
                     16,                0.89459,                 1.1454,                0.96495,                      1,                0.72842,                   0.99,                0.80882,                0.67572,                 2.6958,                 1.0121,             0.00052793,             0.00052793,             0.00052793
                     17,                0.80562,                 1.2118,                  1.002,                      1,                0.76105,                0.98413,                0.83125,                0.57392,                 2.6538,                0.95771,             0.00055546,             0.00055546,             0.00055546
                     18,                0.58456,                 1.3085,                0.90247,                      1,                0.83976,                0.98786,                0.87599,                 0.5592,                 2.5621,                0.92089,             0.00058219,             0.00058219,             0.00058219
                     19,                 0.7384,                 1.1034,                0.91924,                      1,                0.82985,                   0.99,                0.83332,                0.67801,                 2.6173,                0.96094,             0.00060813,             0.00060813,             0.00060813
                     20,                0.63149,                 1.3874,                0.92326,                0.15595,                      1,                0.98056,                0.80195,                0.77178,                 2.9682,                 1.0153,             0.00063328,             0.00063328,             0.00063328
                     21,                0.66038,                 1.1452,                0.92753,                0.00315,                0.94444,                0.92201,                0.69047,                 1.0747,                 3.2439,                 1.1477,             0.00065764,             0.00065764,             0.00065764
                     22,                 0.8344,                 1.3099,                0.94791,                      1,                0.48215,                0.94739,                0.71661,                0.96293,                 3.1294,                 1.0873,             0.00068121,             0.00068121,             0.00068121
                     23,                 0.7728,                 1.2259,                0.99143,                      1,                0.60915,                0.99237,                0.78937,                0.81496,                 2.8243,                 1.0204,             0.00070398,             0.00070398,             0.00070398
                     24,                0.85176,                 1.2574,                 1.0072,                      1,                0.83867,                0.99237,                0.82174,                0.71713,                 2.5186,                0.95765,             0.00072596,             0.00072596,             0.00072596
                     25,                0.92553,                  1.463,                 1.0203,                      1,                0.71645,                0.98154,                0.85223,                0.66351,                 2.5087,                0.92992,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.1063,                 1.3452,                 1.1598,                      1,                0.76138,                  0.979,                0.82583,                0.69305,                  2.474,                0.94688,             0.00076755,             0.00076755,             0.00076755
                     27,                0.66542,                 1.0569,                0.94809,                0.94238,                0.90939,                0.97469,                0.75454,                0.77918,                 2.2314,                 1.0437,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.0302,                 1.6088,                 1.1114,                0.94238,                0.90939,                0.97469,                0.75454,                0.77918,                 2.2314,                 1.0437,             0.00080597,             0.00080597,             0.00080597
                     29,                0.81427,                 1.1121,                 1.0113,                0.87265,                0.94444,                 0.9472,                0.70249,                0.83571,                 2.4283,                 1.0289,             0.00082399,             0.00082399,             0.00082399
                     30,                0.84961,                  1.502,                 1.1225,                      1,                0.96825,                  0.995,                0.77936,                 0.7645,                 2.2264,                0.98184,             0.00084122,             0.00084122,             0.00084122
                     31,                0.73439,                 1.4714,                0.98741,                      1,                0.96825,                  0.995,                0.77936,                 0.7645,                 2.2264,                0.98184,             0.00085766,             0.00085766,             0.00085766
                     32,                0.94667,                 1.2608,                  1.078,                 0.9319,                      1,                0.99237,                0.78124,                0.76539,                 2.2013,                0.99171,             0.00087331,             0.00087331,             0.00087331
                     33,                 0.7059,                 1.0399,                0.96001,                0.99015,                0.94444,                0.99237,                0.79606,                0.74482,                 2.1076,                0.97839,             0.00088816,             0.00088816,             0.00088816
                     34,                0.90866,                 1.1895,                 1.0546,                0.99015,                0.94444,                0.99237,                0.79606,                0.74482,                 2.1076,                0.97839,             0.00090222,             0.00090222,             0.00090222
                     35,                0.71749,                 1.0652,                0.97678,                0.99917,                      1,                  0.995,                0.79349,                0.80324,                 1.8082,                 1.0001,             0.00091549,             0.00091549,             0.00091549
